Modelo,PR_AUC,ROC_AUC,Brier,Limiar,Acuracia,Balanced_accuracy,Precisao,Recall,F1,F2
HistGradientBoosting,0.5244683326770825,0.7108246957707366,0.17562378943418938,0.2593208859861669,0.6469825862758345,0.6462783806264518,0.4189579171027178,0.6446591519055287,0.5078614538884404,0.5819567419937448
Random Forest,0.5185747134038547,0.7046309845954686,0.2024519932600051,0.5,0.7093162734906038,0.642643390542281,0.4857115179695825,0.489337822671156,0.4875179270278811,0.48860823637178663
Regressão Logística,0.5095154383884302,0.7002589428898808,0.21645154416234896,0.5,0.6697045319803113,0.6409788864194732,0.4359344359344359,0.5749280242033865,0.49587542087542086,0.5404636739786604
Baseline,0.2825490493457789,0.5,0.20312822240663672,0.5,0.717450950654221,0.5,0.0,0.0,0.0,0.0
