Metrica,Estimativa,IC95_inferior,IC95_superior
PR-AUC,0.5244683326770825,0.517320209541914,0.5316687565944682
ROC-AUC,0.7108246957707366,0.707046556518824,0.7151175080946818
F1,0.5078614538884404,0.5028665160879231,0.5129010019780418
