Cenario,PR_AUC,ROC_AUC,Queda_PR_AUC_pct
Atendimento inicial completo,0.5245622842959232,0.7104828742464504,0.0
Sem tipo do acidente e veículos,0.39547113183470317,0.6279939343555557,24.609308813440233
