Modelo,PR_AUC,ROC_AUC,Brier,Tempo_treino_s
HistGradientBoosting,0.5335566390774298,0.7151034779463554,0.21091544890779632,8.497741499999393
Random Forest,0.5287922329900853,0.7108770193415374,0.20033445800062044,36.8200123000006
Regressão Logística,0.5199778288859227,0.7054642403936954,0.21483105753356238,7.090229099998396
Baseline,0.28193176226146865,0.5,0.20283466936626335,0.018813200000295183
